SEED,COMANDO,PREU_HC,TEMPS_HC,,SEED,COMANDO,PREU_SA,TEMPS_SA
123,"400 123 1,2 1 0 0",3929.29,23570.00,,123,"400 123 1,2 1 0 1 20000 100 1 0,01",3949.78,66.00
234,"400 234 1,2 1 0 0",3733.94,24010.00,,234,"400 234 1,2 1 0 1 20000 100 1 0,01",3751.30,50.00
345,"400 345 1,2 1 0 0",3743.08,24052.00,,345,"400 345 1,2 1 0 1 20000 100 1 0,01",3754.86,51.00
456,"400 456 1,2 1 0 0",3833.44,32522.00,,456,"400 456 1,2 1 0 1 20000 100 1 0,01",3848.44,48.00
678,"400 678 1,2 1 0 0",3534.65,19145.00,,678,"400 678 1,2 1 0 1 20000 100 1 0,01",3547.29,74.00
901,"400 901 1,2 1 0 0",3832.24,23682.00,,901,"400 901 1,2 1 0 1 20000 100 1 0,01",3856.26,41.00
111,"400 111 1,2 1 0 0",4065.37,23561.00,,111,"400 111 1,2 1 0 1 20000 100 1 0,01",4094.44,51.00
222,"400 222 1,2 1 0 0",4080.84,23213.00,,222,"400 222 1,2 1 0 1 20000 100 1 0,01",4096.38,50.00
333,"400 333 1,2 1 0 0",4096.96,25127.00,,333,"400 333 1,2 1 0 1 20000 100 1 0,01",4116.81,45.00
444,"400 444 1,2 1 0 0",3789.22,26192.00,,444,"400 444 1,2 1 0 1 20000 100 1 0,01",3814.50,50.00